#Node	Terminal	Time Period	Location	Terminal capacity	Storage Cost	Handling Cost	In Capacity	Out Capacity
708	8	29	OC	18	30	20	1100	55
709	9	29	OC	18	30	20	1100	55
710	10	29	TCO	13	80	50	22	19
711	11	29	TCO	14	80	50	11	19
712	12	29	TCO	7	80	50	11	12
713	13	29	TCO	5	80	50	11	6
714	14	29	TEI	16	100	50	25	25
715	15	29	TEI	2	100	50	19	17
716	16	29	TEI	1	100	50	6	8
717	17	29	DE	24	50	30	126	840
718	18	29	DE	24	50	30	84	840
719	19	29	DE	24	50	30	42	840
720	20	29	DE	24	50	30	42	840
721	21	29	DE	24	50	30	42	840
722	22	29	DE	24	50	30	42	840
723	23	29	DE	24	50	30	42	840
724	24	29	DE	24	50	30	42	840
725	25	29	DE	24	50	30	42	840
726	1	30	OC	18	30	20	1100	110
727	2	30	OC	18	30	20	1100	110
728	3	30	OC	18	30	20	1100	110
729	4	30	OC	18	30	20	1100	55
730	5	30	OC	18	30	20	1100	55
731	6	30	OC	18	30	20	1100	55
732	7	30	OC	18	30	20	1100	55
733	8	30	OC	18	30	20	1100	55
734	9	30	OC	18	30	20	1100	55
735	10	30	TCO	13	80	50	22	19
736	11	30	TCO	14	80	50	11	19
737	12	30	TCO	7	80	50	11	12
738	13	30	TCO	5	80	50	11	6
739	14	30	TEI	16	100	50	25	25
740	15	30	TEI	2	100	50	19	17
741	16	30	TEI	1	100	50	6	8
742	17	30	DE	24	50	30	126	840
743	18	30	DE	24	50	30	84	840
744	19	30	DE	24	50	30	42	840
745	20	30	DE	24	50	30	42	840
746	21	30	DE	24	50	30	42	840
747	22	30	DE	24	50	30	42	840
748	23	30	DE	24	50	30	42	840
749	24	30	DE	24	50	30	42	840
750	25	30	DE	24	50	30	42	840
751	1	31	OC	18	30	20	1100	110
752	2	31	OC	18	30	20	1100	110
753	3	31	OC	18	30	20	1100	110
754	4	31	OC	18	30	20	1100	55
755	5	31	OC	18	30	20	1100	55
756	6	31	OC	18	30	20	1100	55
757	7	31	OC	18	30	20	1100	55
758	8	31	OC	18	30	20	1100	55
759	9	31	OC	18	30	20	1100	55
760	10	31	TCO	13	80	50	22	19
761	11	31	TCO	14	80	50	11	19
762	12	31	TCO	7	80	50	11	12
763	13	31	TCO	5	80	50	11	6
764	14	31	TEI	16	100	50	25	25
765	15	31	TEI	2	100	50	19	17
766	16	31	TEI	1	100	50	6	8
767	17	31	DE	24	50	30	126	840
768	18	31	DE	24	50	30	84	840
769	19	31	DE	24	50	30	42	840
770	20	31	DE	24	50	30	42	840
771	21	31	DE	24	50	30	42	840
772	22	31	DE	24	50	30	42	840
773	23	31	DE	24	50	30	42	840
774	24	31	DE	24	50	30	42	840
775	25	31	DE	24	50	30	42	840
776	1	32	OC	18	30	20	1100	110
777	2	32	OC	18	30	20	1100	110
778	3	32	OC	18	30	20	1100	110
779	4	32	OC	18	30	20	1100	55
780	5	32	OC	18	30	20	1100	55
781	6	32	OC	18	30	20	1100	55
782	7	32	OC	18	30	20	1100	55
783	8	32	OC	18	30	20	1100	55
784	9	32	OC	18	30	20	1100	55
785	10	32	TCO	13	80	50	22	19
786	11	32	TCO	14	80	50	11	19
787	12	32	TCO	7	80	50	11	12
788	13	32	TCO	5	80	50	11	6
789	14	32	TEI	16	100	50	25	25
790	15	32	TEI	2	100	50	19	17
791	16	32	TEI	1	100	50	6	8
792	17	32	DE	24	50	30	126	840
793	18	32	DE	24	50	30	84	840
794	19	32	DE	24	50	30	42	840
795	20	32	DE	24	50	30	42	840
796	21	32	DE	24	50	30	42	840
797	22	32	DE	24	50	30	42	840
798	23	32	DE	24	50	30	42	840
799	24	32	DE	24	50	30	42	840
800	25	32	DE	24	50	30	42	840
801	1	33	OC	18	30	20	1100	110
802	2	33	OC	18	30	20	1100	110
803	3	33	OC	18	30	20	1100	110
804	4	33	OC	18	30	20	1100	55
805	5	33	OC	18	30	20	1100	55
806	6	33	OC	18	30	20	1100	55
807	7	33	OC	18	30	20	1100	55
808	8	33	OC	18	30	20	1100	55
809	9	33	OC	18	30	20	1100	55
810	10	33	TCO	13	80	50	22	19
811	11	33	TCO	14	80	50	11	19
812	12	33	TCO	7	80	50	11	12
813	13	33	TCO	5	80	50	11	6
814	14	33	TEI	16	100	50	25	25
815	15	33	TEI	2	100	50	19	17
816	16	33	TEI	1	100	50	6	8
817	17	33	DE	24	50	30	126	840
818	18	33	DE	24	50	30	84	840
819	19	33	DE	24	50	30	42	840
820	20	33	DE	24	50	30	42	840
821	21	33	DE	24	50	30	42	840
822	22	33	DE	24	50	30	42	840
823	23	33	DE	24	50	30	42	840
824	24	33	DE	24	50	30	42	840
825	25	33	DE	24	50	30	42	840
826	1	34	OC	18	30	20	1100	110
827	2	34	OC	18	30	20	1100	110
828	3	34	OC	18	30	20	1100	110
829	4	34	OC	18	30	20	1100	55
830	5	34	OC	18	30	20	1100	55
831	6	34	OC	18	30	20	1100	55
832	7	34	OC	18	30	20	1100	55
833	8	34	OC	18	30	20	1100	55
834	9	34	OC	18	30	20	1100	55
835	10	34	TCO	13	80	50	22	19
836	11	34	TCO	14	80	50	11	19
837	12	34	TCO	7	80	50	11	12
838	13	34	TCO	5	80	50	11	6
839	14	34	TEI	16	100	50	25	25
840	15	34	TEI	2	100	50	19	17
841	16	34	TEI	1	100	50	6	8
842	17	34	DE	24	50	30	126	840
843	18	34	DE	24	50	30	84	840
844	19	34	DE	24	50	30	42	840
845	20	34	DE	24	50	30	42	840
846	21	34	DE	24	50	30	42	840
847	22	34	DE	24	50	30	42	840
848	23	34	DE	24	50	30	42	840
849	24	34	DE	24	50	30	42	840
850	25	34	DE	24	50	30	42	840
851	1	35	OC	18	30	20	1100	110
852	2	35	OC	18	30	20	1100	110
853	3	35	OC	18	30	20	1100	110
854	4	35	OC	18	30	20	1100	55
855	5	35	OC	18	30	20	1100	55
856	6	35	OC	18	30	20	1100	55
857	7	35	OC	18	30	20	1100	55
858	8	35	OC	18	30	20	1100	55
859	9	35	OC	18	30	20	1100	55
860	10	35	TCO	13	80	50	22	19
861	11	35	TCO	14	80	50	11	19
862	12	35	TCO	7	80	50	11	12
863	13	35	TCO	5	80	50	11	6
864	14	35	TEI	16	100	50	25	25
865	15	35	TEI	2	100	50	19	17
866	16	35	TEI	1	100	50	6	8
867	17	35	DE	24	50	30	126	840
868	18	35	DE	24	50	30	84	840
869	19	35	DE	24	50	30	42	840
870	20	35	DE	24	50	30	42	840
871	21	35	DE	24	50	30	42	840
872	22	35	DE	24	50	30	42	840
873	23	35	DE	24	50	30	42	840
874	24	35	DE	24	50	30	42	840
875	25	35	DE	24	50	30	42	840
876	1	36	OC	18	30	20	1100	110
877	2	36	OC	18	30	20	1100	110
878	3	36	OC	18	30	20	1100	110
879	4	36	OC	18	30	20	1100	55
880	5	36	OC	18	30	20	1100	55
881	6	36	OC	18	30	20	1100	55
882	7	36	OC	18	30	20	1100	55
883	8	36	OC	18	30	20	1100	55
884	9	36	OC	18	30	20	1100	55
885	10	36	TCO	13	80	50	22	19
886	11	36	TCO	14	80	50	11	19
887	12	36	TCO	7	80	50	11	12
888	13	36	TCO	5	80	50	11	6
889	14	36	TEI	16	100	50	25	25
890	15	36	TEI	2	100	50	19	17
891	16	36	TEI	1	100	50	6	8
892	17	36	DE	24	50	30	126	840
893	18	36	DE	24	50	30	84	840
894	19	36	DE	24	50	30	42	840
895	20	36	DE	24	50	30	42	840
896	21	36	DE	24	50	30	42	840
897	22	36	DE	24	50	30	42	840
898	23	36	DE	24	50	30	42	840
899	24	36	DE	24	50	30	42	840
900	25	36	DE	24	50	30	42	840
901	1	37	OC	18	30	20	1100	110
902	2	37	OC	18	30	20	1100	110
903	3	37	OC	18	30	20	1100	110
904	4	37	OC	18	30	20	1100	55
905	5	37	OC	18	30	20	1100	55
906	6	37	OC	18	30	20	1100	55
907	7	37	OC	18	30	20	1100	55
908	8	37	OC	18	30	20	1100	55
909	9	37	OC	18	30	20	1100	55
910	10	37	TCO	13	80	50	22	19
911	11	37	TCO	14	80	50	11	19
912	12	37	TCO	7	80	50	11	12
913	13	37	TCO	5	80	50	11	6
914	14	37	TEI	16	100	50	25	25
915	15	37	TEI	2	100	50	19	17
916	16	37	TEI	1	100	50	6	8
917	17	37	DE	24	50	30	126	840
918	18	37	DE	24	50	30	84	840
919	19	37	DE	24	50	30	42	840
920	20	37	DE	24	50	30	42	840
921	21	37	DE	24	50	30	42	840
922	22	37	DE	24	50	30	42	840
923	23	37	DE	24	50	30	42	840
924	24	37	DE	24	50	30	42	840
925	25	37	DE	24	50	30	42	840
926	1	38	OC	18	30	20	1100	110
927	2	38	OC	18	30	20	1100	110
928	3	38	OC	18	30	20	1100	110
929	4	38	OC	18	30	20	1100	55
930	5	38	OC	18	30	20	1100	55
931	6	38	OC	18	30	20	1100	55
932	7	38	OC	18	30	20	1100	55
933	8	38	OC	18	30	20	1100	55
934	9	38	OC	18	30	20	1100	55
935	10	38	TCO	13	80	50	22	19
936	11	38	TCO	14	80	50	11	19
937	12	38	TCO	7	80	50	11	12
938	13	38	TCO	5	80	50	11	6
939	14	38	TEI	16	100	50	25	25
940	15	38	TEI	2	100	50	19	17
941	16	38	TEI	1	100	50	6	8
942	17	38	DE	24	50	30	126	840
943	18	38	DE	24	50	30	84	840
944	19	38	DE	24	50	30	42	840
945	20	38	DE	24	50	30	42	840
946	21	38	DE	24	50	30	42	840
947	22	38	DE	24	50	30	42	840
948	23	38	DE	24	50	30	42	840
949	24	38	DE	24	50	30	42	840
950	25	38	DE	24	50	30	42	840
951	1	39	OC	18	30	20	1100	110
952	2	39	OC	18	30	20	1100	110
953	3	39	OC	18	30	20	1100	110
954	4	39	OC	18	30	20	1100	55
955	5	39	OC	18	30	20	1100	55
956	6	39	OC	18	30	20	1100	55
957	7	39	OC	18	30	20	1100	55
958	8	39	OC	18	30	20	1100	55
959	9	39	OC	18	30	20	1100	55
960	10	39	TCO	13	80	50	22	19
961	11	39	TCO	14	80	50	11	19
962	12	39	TCO	7	80	50	11	12
963	13	39	TCO	5	80	50	11	6
964	14	39	TEI	16	100	50	25	25
965	15	39	TEI	2	100	50	19	17
966	16	39	TEI	1	100	50	6	8
967	17	39	DE	24	50	30	126	840
968	18	39	DE	24	50	30	84	840
969	19	39	DE	24	50	30	42	840
970	20	39	DE	24	50	30	42	840
971	21	39	DE	24	50	30	42	840
972	22	39	DE	24	50	30	42	840
973	23	39	DE	24	50	30	42	840
974	24	39	DE	24	50	30	42	840
975	25	39	DE	24	50	30	42	840
976	1	40	OC	18	30	20	1100	110
977	2	40	OC	18	30	20	1100	110
978	3	40	OC	18	30	20	1100	110
979	4	40	OC	18	30	20	1100	55
980	5	40	OC	18	30	20	1100	55
981	6	40	OC	18	30	20	1100	55
982	7	40	OC	18	30	20	1100	55
983	8	40	OC	18	30	20	1100	55
984	9	40	OC	18	30	20	1100	55
985	10	40	TCO	13	80	50	22	19
986	11	40	TCO	14	80	50	11	19
987	12	40	TCO	7	80	50	11	12
988	13	40	TCO	5	80	50	11	6
989	14	40	TEI	16	100	50	25	25
990	15	40	TEI	2	100	50	19	17
991	16	40	TEI	1	100	50	6	8
992	17	40	DE	24	50	30	126	840
993	18	40	DE	24	50	30	84	840
994	19	40	DE	24	50	30	42	840
995	20	40	DE	24	50	30	42	840
996	21	40	DE	24	50	30	42	840
997	22	40	DE	24	50	30	42	840
998	23	40	DE	24	50	30	42	840
999	24	40	DE	24	50	30	42	840
1000	25	40	DE	24	50	30	42	840
